timestamp,region,service_type,usage_units,provisioned_capacity,cost_usd,availability_pct,is_holiday,economic_growth_index,marketing_spend_index,it_spending_growth
2023-01-01,East US,Compute,551.08,639.14,27.55,99.47,1,5.67,103.19,8.14
2023-01-01,East US,Storage,924.88,1069.36,18.5,99.41,1,6.16,95.37,7.77
2023-01-01,West Europe,Compute,537.7,599.43,26.89,99.12,1,6.24,84.76,7.79
2023-01-01,West Europe,Storage,777.64,859.25,15.55,99.79,1,5.93,100.68,7.29
2023-01-01,Southeast Asia,Compute,496.42,566.48,24.82,99.52,1,5.82,109.47,8.15
2023-01-01,Southeast Asia,Storage,786.61,877.88,15.73,99.5,1,5.68,108.23,7.39
2023-01-01,Central India,Compute,535.97,606.72,26.8,99.11,1,6.07,108.82,7.5
2023-01-01,Central India,Storage,707.0,771.13,14.14,99.41,1,6.32,103.44,7.12
2023-01-02,East US,Compute,542.01,575.18,27.1,99.42,0,6.17,108.88,8.45
2023-01-02,East US,Storage,903.42,958.62,18.07,99.33,0,5.91,103.31,8.49
2023-01-02,West Europe,Compute,499.84,548.15,24.99,99.46,0,6.35,91.02,8.42
2023-01-02,West Europe,Storage,864.91,969.42,17.3,99.57,0,5.81,103.61,8.77
2023-01-02,Southeast Asia,Compute,523.12,590.29,26.16,99.81,0,5.88,99.39,7.29
2023-01-02,Southeast Asia,Storage,927.57,1044.71,18.55,99.46,0,6.11,114.78,7.74
2023-01-02,Central India,Compute,482.55,573.98,24.13,99.4,0,6.15,111.58,8.13
2023-01-02,Central India,Storage,866.42,933.99,17.33,99.52,0,6.29,92.98,7.84
2023-01-03,East US,Compute,504.41,591.53,25.22,99.21,0,5.2,103.46,7.8
2023-01-03,East US,Storage,815.71,897.81,16.31,99.47,0,6.12,118.86,8.09
2023-01-03,West Europe,Compute,538.52,643.19,26.93,99.49,0,5.99,83.26,7.46
2023-01-03,West Europe,Storage,756.62,798.64,15.13,99.51,0,6.74,98.08,8.15
2023-01-03,Southeast Asia,Compute,523.18,626.69,26.16,99.27,0,6.23,88.5,7.61
2023-01-03,Southeast Asia,Storage,904.94,1049.04,18.1,99.78,0,5.58,105.87,9.1
2023-01-03,Central India,Compute,473.0,499.54,23.65,99.39,0,6.51,108.74,8.0
2023-01-03,Central India,Storage,809.29,877.25,16.19,99.29,0,6.14,90.81,8.77
2023-01-04,East US,Compute,483.88,575.19,24.19,99.44,0,5.89,105.56,8.52
2023-01-04,East US,Storage,884.22,1002.07,17.68,99.18,0,6.06,102.6,8.39
2023-01-04,West Europe,Compute,460.06,533.16,23.0,99.24,0,6.19,112.17,8.11
2023-01-04,West Europe,Storage,911.18,958.0,18.22,99.56,0,5.79,118.66,8.24
2023-01-04,Southeast Asia,Compute,462.46,534.98,23.12,99.63,0,5.77,88.7,8.38
2023-01-04,Southeast Asia,Storage,946.54,1114.45,18.93,99.66,0,6.57,97.55,7.62
2023-01-04,Central India,Compute,478.3,572.02,23.92,99.34,0,6.26,97.6,8.6
2023-01-04,Central India,Storage,885.19,996.19,17.7,99.45,0,6.82,106.26,7.57
2023-01-05,East US,Compute,468.78,558.35,23.44,99.6,0,5.96,107.4,7.77
2023-01-05,East US,Storage,905.27,1002.83,18.11,99.41,0,6.26,102.14,7.38
2023-01-05,West Europe,Compute,534.09,606.47,26.7,99.58,0,6.07,91.91,8.53
2023-01-05,West Europe,Storage,844.31,980.35,16.89,99.72,0,6.32,86.22,7.53
2023-01-05,Southeast Asia,Compute,552.04,651.44,27.6,99.6,0,6.01,108.72,8.72
2023-01-05,Southeast Asia,Storage,840.61,964.6,16.81,99.69,0,6.2,96.85,8.38
2023-01-05,Central India,Compute,484.43,550.67,24.22,99.45,0,5.99,94.65,7.11
2023-01-05,Central India,Storage,870.01,990.62,17.4,99.41,0,6.33,100.64,7.46
2023-01-06,East US,Compute,487.45,557.36,24.37,99.64,0,6.72,118.43,8.68
2023-01-06,East US,Storage,909.62,1088.24,18.19,99.09,0,6.06,93.38,8.43
2023-01-06,West Europe,Compute,483.39,509.4,24.17,99.48,0,5.77,116.61,7.83
2023-01-06,West Europe,Storage,813.3,884.49,16.27,99.85,0,6.12,87.39,8.46
2023-01-06,Southeast Asia,Compute,636.41,708.29,31.82,99.71,0,5.78,87.2,7.88
2023-01-06,Southeast Asia,Storage,997.25,1061.75,19.94,98.85,0,5.69,97.47,7.38
2023-01-06,Central India,Compute,610.7,699.41,30.54,99.21,0,5.96,95.34,8.03
2023-01-06,Central India,Storage,1037.23,1222.35,20.74,99.3,0,6.14,101.99,7.7
2023-01-07,East US,Compute,528.66,629.66,26.43,99.42,1,5.43,112.81,7.69
2023-01-07,East US,Storage,1017.35,1151.48,20.35,99.47,1,6.18,102.81,7.69
2023-01-07,West Europe,Compute,514.07,604.93,25.7,99.4,1,5.81,96.45,8.48
2023-01-07,West Europe,Storage,962.01,1136.74,19.24,99.66,1,6.19,91.71,7.72
2023-01-07,Southeast Asia,Compute,564.23,676.28,28.21,99.62,1,5.46,87.79,7.67
2023-01-07,Southeast Asia,Storage,937.6,1115.38,18.75,99.46,1,6.33,108.25,8.41
2023-01-07,Central India,Compute,593.54,651.71,29.68,99.5,1,5.93,108.54,7.86
2023-01-07,Central India,Storage,788.5,940.29,15.77,99.52,1,6.18,91.82,9.05
2023-01-08,East US,Compute,472.18,543.43,23.61,99.26,1,6.23,106.67,7.65
2023-01-08,East US,Storage,839.26,950.4,16.79,99.7,1,5.96,91.75,7.84
2023-01-08,West Europe,Compute,546.68,624.71,27.33,99.39,1,5.87,102.04,8.28
2023-01-08,West Europe,Storage,913.29,970.1,18.27,99.21,1,5.58,92.82,7.89
2023-01-08,Southeast Asia,Compute,541.32,602.83,27.07,99.8,1,5.91,99.95,7.66
2023-01-08,Southeast Asia,Storage,835.95,892.65,16.72,99.56,1,5.75,105.19,8.77
2023-01-08,Central India,Compute,519.29,567.51,25.96,99.58,1,5.9,104.58,8.03
2023-01-08,Central India,Storage,922.61,1106.16,18.45,99.52,1,5.77,100.25,8.25
2023-01-09,East US,Compute,601.19,672.23,30.06,99.69,0,6.36,118.16,7.94
2023-01-09,East US,Storage,922.01,1053.88,18.44,99.33,0,5.82,78.76,7.74
2023-01-09,West Europe,Compute,485.15,580.31,24.26,99.53,0,5.43,103.62,8.29
2023-01-09,West Europe,Storage,921.52,990.08,18.43,99.24,0,6.55,111.79,7.77
2023-01-09,Southeast Asia,Compute,435.06,520.11,21.75,99.77,0,6.08,102.79,6.77
2023-01-09,Southeast Asia,Storage,764.29,833.85,15.29,99.5,0,6.01,95.5,8.31
2023-01-09,Central India,Compute,468.95,559.51,23.45,99.47,0,5.59,105.35,8.53
2023-01-09,Central India,Storage,969.48,1070.03,19.39,99.57,0,5.78,115.51,8.06
2023-01-10,East US,Compute,586.91,664.85,29.35,99.51,0,6.31,101.66,7.49
2023-01-10,East US,Storage,817.4,861.79,16.35,99.63,0,6.41,90.35,8.34
2023-01-10,West Europe,Compute,580.57,643.75,29.03,99.15,0,6.27,98.63,8.1
2023-01-10,West Europe,Storage,657.65,767.83,13.15,99.83,0,5.59,82.97,7.97
2023-01-10,Southeast Asia,Compute,545.16,612.71,27.26,99.49,0,6.34,85.59,7.94
2023-01-10,Southeast Asia,Storage,833.67,891.47,16.67,99.57,0,5.72,94.86,7.47
2023-01-10,Central India,Compute,521.71,600.04,26.09,99.69,0,5.87,95.24,7.59
2023-01-10,Central India,Storage,793.04,843.25,15.86,99.48,0,5.69,94.46,7.4
2023-01-11,East US,Compute,628.15,663.26,31.41,99.51,0,6.15,112.05,8.43
2023-01-11,East US,Storage,787.89,915.72,15.76,99.39,0,5.83,97.25,6.85
2023-01-11,West Europe,Compute,445.45,498.63,22.27,99.77,0,6.26,90.12,8.01
2023-01-11,West Europe,Storage,921.36,1040.97,18.43,99.47,0,5.71,83.94,8.1
2023-01-11,Southeast Asia,Compute,485.29,511.02,24.26,99.22,0,5.68,93.46,7.61
2023-01-11,Southeast Asia,Storage,810.53,959.33,16.21,99.84,0,6.26,99.92,8.74
2023-01-11,Central India,Compute,529.06,602.09,26.45,99.33,0,5.87,115.82,7.81
