timestamp          , region       , service_type, usage_units, provisioned_capacity, cost_usd, availability_pct, is_holiday, economic_growth_index, marketing_index, it_spending_growth
2023-09-13 14:00:00, Central India, Compute     ,      211.62,               235.99,   238.17,            96.93,        0.0,                  4.11,            4.72,               8.96
2022-10-21 03:00:00, Central India, Compute     ,      320.11,               345.02,   157.05,            98.85,        1.0,                  4.11,            4.39,               3.29
2021-02-05 20:00:00, West US      , Compute     ,      103.12,               302.45,   267.77,            95.79,        0.0,                  4.89,            8.79,               8.27
2021-08-13 14:00:00, East US      , Compute     ,       75.32,               185.12,   185.24,            98.51,        0.0,                  7.27,            1.6 ,               7.24
2023-06-18 23:00:00, East US      , Storage     ,      235.4 ,               201.31,   185.24,            98.75,        0.0,                  7.46,            6.0 ,              11.17
2022-05-14 12:00:00, UK South     , Compute     ,      310.51,               559.15,   179.12,            97.21,        0.0,                  7.98,            9.69,               8.9
2022-04-16 04:00:00, Central India, Compute     ,      226.71,               529.14,    21.12,            98.97,        0.0,                  7.72,            1.9 ,               7.18
2023-07-11 14:00:00, East US      , Storage     ,      309.98,               199.52,   107.47,            97.79,        1.0,                  6.36,            5.87,               8.24
2021-09-19 01:00:00, East US      , Compute     ,      281.79,               537.83,    78.23,            99.68,        0.0,                  5.16,            2.19,               6.43
2022-12-04 02:00:00, East Asia    , Storage     ,      358.57,               204.59,   203.17,            95.56,        0.0,                  3.29,            9.01,               7.08
2022-12-04 02:00:00, East Asia    , Storage     ,      342.29,               413.27,    58.09,            95.65,        0.0,                  6.04,            6.29,               9.22
2023-07-05 02:00:00, East US      , Storage     ,      240.91,               140.64,   101.23,            99.21,        0.0,                  4.05,            3.11,               2.78
2022-08-24 23:00:00, UK South     , Storage     ,      241.25,               540.18,   112.77,            99.21,        0.0,                  7.25,            3.76,               8.15
2022-04-19 11:00:00, East US      , Storage     ,      113.35,               125.75,    20.92,            97.36,        1.0,                  5.74,            5.65,               2.88
2022-10-30 15:00:00, West US      , Compute     ,      280.96,               377.47,    33.09,            99.82,        0.0,                  6.67,            7.53,              10.55
2021-12-13 18:00:00, Central India, Compute     ,      314.23,               489.86,   107.12,            98.4 ,        0.0,                  6.37,            5.39,              11.42
2021-03-12 05:00:00, UK South     , Compute     ,      264.42,               158.42,    82.26,            99.91,        0.0,                  6.37,            2.7 ,               9.8
2021-02-02 01:00:00, West US      , Storage     ,      196.57,               302.24,    52.73,            97.66,        0.0,                  6.8 ,            7.37,               9.18
2023-08-31 05:00:00, UK South     , Compute     ,      374.74,               120.98,    63.17,            96.01,        0.0,                  7.22,            2.07,              11.44
2021-04-12 09:00:00, West US      , Compute     ,       83.6 ,               441.38,   253.95,            97.22,        0.0,                  6.72,            8.28,               4.19
2021-08-10 07:00:00, Central India, Compute     ,      461.5 ,               253.72,   211.33,            99.9 ,        0.0,                  6.88,            4.56,               4.29
2021-07-30 11:00:00, Central India, Compute     ,       59.29,               379.7 ,   155.55,            96.85,        0.0,                  4.8 ,            6.87,               6.81
2021-09-25 12:00:00, East Asia    , Storage     ,      483.06,               566.37,   274.48,            99.79,        0.0,                  7.72,            4.1 ,               2.07
2023-01-03 00:00:00, West US      , Compute     ,      258.06,               252.93,    28.27,            98.99,        0.0,                  5.12,            7.02,              11.65
2023-05-23 11:00:00, East Asia    , Compute     ,      235.7 ,               124.31,   116.58,            97.21,        0.0,                  7.49,            9.0 ,               2.32
2023-04-04 17:00:00, West US      , Storage     ,      165.4 ,               437.81,   250.55,            97.71,        0.0,                  7.29,            7.31,               7.96
2021-09-24 12:00:00, East Asia    , Compute     ,       54.53,               493.42,   195.92,            98.04,        0.0,                  3.62,            7.04,               5.54
2021-12-28 02:00:00, Central India, Storage     ,      173.66,               578.93,   294.87,            98.33,        0.0,                  7.83,            7.82,               3.03
2023-12-06 02:00:00, UK South     , Storage     ,       99.23,               178.9 ,   284.46,            95.38,        0.0,                  7.98,            5.5 ,               2.25
2023-03-01 06:00:00, East Asia    , Storage     ,      346.92,               296.07,    67.58,            99.67,        0.0,                  7.98,            2.98,               4.62
2023-10-07 17:00:00, West US      , Storage     ,      346.92,               522.07,   292.16,            97.98,        0.0,                  6.92,            8.34,               3.07
2023-02-07 23:00:00, West US      , Storage     ,      395.23,               503.44,   284.75,            99.66,        0.0,                  7.67,            6.84,              11.4
2021-04-25 11:00:00, Central India, Storage     ,      143.11,               412.4 ,   124.61,            98.16,        0.0,                  3.1 ,            3.82,               4.45
2023-12-01 15:00:00, West US      , Storage     ,      455.11,               234.68,   295.21,            97.16,        0.0,                  7.65,            3.48,               2.94
2021-01-08 21:00:00, East US      , Compute     ,      285.34,               242.02,    30.04,            97.83,        0.0,                  6.14,            5.5 ,               9.7
2023-03-08 14:00:00, UK South     , Compute     ,      101.53,               242.02,   205.01,            99.15,        0.0,                  7.14,            2.87,               6.14
2021-05-06 05:00:00, East Asia    , Storage     ,      230.38,               560.93,    94.52,            96.63,        0.0,                  5.7 ,            8.9 ,              10.44
2023-05-27 18:00:00, UK South     , Storage     ,      230.38,               186.47,    94.52,            99.78,        0.0,                  5.65,            8.1 ,              10.38
2021-03-21 03:00:00, Central India, Compute     ,      139.86,               386.44,   181.71,            97.33,        0.0,                  7.49,            3.77,              11.92
2023-10-02 22:00:00, East Asia    , Compute     ,      277.87,               392.18,   105.78,            99.78,        0.0,                  5.54,            1.44,              10.04
2021-02-22 19:00:00, East Asia    , Compute     ,      352.35,               284.8 ,   206.71,            99.4 ,        0.0,                  5.36,            1.47,               4.14
2023-01-17 08:00:00, East US      , Compute     ,      460.23,               276.26,   171.19,            98.84,        0.0,                  6.04,            3.67,               7.86
2022-04-20 18:00:00, Central India, Storage     ,      275.97,               434.29,   129.93,            97.34,        1.0,                  5.59,            2.33,               7.26
2021-05-29 04:00:00, West US      , Storage     ,      484.63,               294.15,    70.91,            97.93,        0.0,                  5.23,            8.86,               7.08
2021-06-12 02:00:00, East US      , Storage     ,      473.74,               227.56,   188.35,            99.19,        0.0,                  5.23,            4.79,               4.97
2022-01-04 06:00:00, East US      , Compute     ,      439.28,               299.57,   252.18,            97.72,        1.0,                  4.99,            4.13,               4.1
2022-08-28 06:00:00, UK South     , Compute     ,      274.99,               503.83,   188.0 ,            98.69,        0.0,                  4.41,            2.96,               9.17
2023-06-27 09:00:00, UK South     , Compute     ,      113.41,               583.24,   190.95,            98.69,        0.0,                  5.0 ,            8.57,               3.02
2022-03-19 19:00:00, UK South     , Storage     ,      148.06,               417.98,   163.31,            97.57,        0.0,                  5.97,            8.13,               2.5
2022-01-02 08:00:00, East US      , Compute     ,      341.45,               491.05,   128.71,            97.68,        1.0,                  6.04,            4.46,               5.81
2022-03-16 19:00:00, West US      , Compute     ,      239.79,               366.41,   148.09,            95.99,        0.0,                  4.19,            2.52,               9.44
2022-03-04 05:00:00, East Asia    , Compute     ,      116.06,               412.41,   297.07,            96.22,        0.0,                  3.42,            9.57,              10.69
2021-12-18 09:00:00, UK South     , Storage     ,      265.55,               594.04,   229.91,            99.52,        0.0,                  6.72,            3.84,               7.4
2022-03-03 09:00:00, West US      , Storage     ,       57.84,               319.21,   140.56,            99.2 ,        0.0,                  5.64,            7.94,              10.4
2022-03-03 09:00:00, Central India, Storage     ,      380.25,               319.21,   148.04,            95.05,        0.0,                  5.21,            5.17,               2.25
2023-09-23 17:00:00, UK South     , Compute     ,       83.11,               578.5 ,   159.9 ,            99.35,        0.0,                  3.65,            8.03,               6.55
2021-04-19 20:00:00, East Asia    , Compute     ,      333.1 ,               496.53,   204.61,            99.35,        0.0,                  5.07,            5.33,               3.33
2023-09-04 01:00:00, Central India, Compute     ,      406.85,               299.16,   150.47,            97.29,        0.0,                  7.09,            9.33,               7.83
2023-12-17 19:00:00, Central India, Storage     ,      109.69,               591.2 ,   212.13,            95.34,        0.0,                  5.91,            8.2 ,              11.21
2023-08-01 11:00:00, East Asia    , Storage     ,      283.39,               272.77,   112.17,            99.84,        0.0,                  3.45,            3.34,               2.07
2023-07-01 06:00:00, UK South     , Compute     ,      400.58,               286.06,   134.98,            99.86,        0.0,                  4.66,            4.87,               2.07
2023-09-06 11:00:00, East US      , Compute     ,      167.29,               404.87,   261.93,            98.05,        0.0,                  7.9 ,            1.91,               9.92
2023-12-22 14:00:00, East Asia    , Storage     ,      123.31,               237.17,   112.09,            96.96,        0.0,                  5.72,            9.13,               9.44
